sample_id,method_id,start_line,end_line,main_st_number,ncss,var_usage,were_missed,is_last_var_declaration,lines,diff_lines_var_usage,diff_lines_main_st,div_lines_var_usage,div_lines_main_st,non_spaces_symb_avg,non_spaces_symb_variance
147.0,method_15.java,12,40,17,35,18,1,False,28,10,11,1.5555555555555556,1.6470588235294117,30.24137931034483,627.217598097503
150.0,method_15.java,13,41,17,35,18,1,False,28,10,11,1.5555555555555556,1.6470588235294117,30.20689655172414,628.2330558858501
181.0,method_19.java,24,66,17,28,12,1,False,42,30,25,3.5,2.4705882352941178,29.333333333333332,588.5555555555557
149.0,method_15.java,13,40,16,34,18,1,False,27,9,11,1.5,1.6875,30.75,642.1160714285714
152.0,method_15.java,14,41,16,34,18,1,False,27,9,11,1.5,1.6875,30.785714285714285,640.9540816326529
62.0,method_6.java,3,33,16,24,7,1,False,30,23,14,4.285714285714286,1.875,36.73076923076923,645.8890532544378
151.0,method_15.java,14,40,15,33,18,1,False,26,8,11,1.4444444444444444,1.7333333333333334,31.37037037037037,655.1220850480111
176.0,method_18.java,37,75,15,25,6,1,False,38,32,23,6.333333333333333,2.533333333333333,23.72972972972973,255.17019722425127
183.0,method_19.java,26,63,15,24,12,1,False,37,25,22,3.0833333333333335,2.466666666666667,29.64516129032258,580.0353798126952
63.0,method_6.java,4,33,15,23,6,1,False,29,23,14,4.833333333333333,1.9333333333333333,35.84,651.0944000000001
185.0,method_19.java,28,63,14,23,12,1,False,35,23,21,2.9166666666666665,2.5,29.4,597.5066666666667
31.0,method_2.java,8,35,14,21,11,1,False,27,16,13,2.4545454545454546,1.9285714285714286,24.035714285714285,328.4630102040816
64.0,method_6.java,6,30,14,20,6,1,False,24,18,10,4.0,1.7142857142857142,39.857142857142854,650.6938775510205
173.0,method_18.java,10,36,13,19,3,1,False,26,23,13,8.666666666666666,2.0,23.59090909090909,204.3326446280992
174.0,method_18.java,17,35,13,18,3,1,False,18,15,5,6.0,1.3846153846153846,25.63157894736842,176.54847645429365
30.0,method_2.java,8,34,13,20,11,1,False,26,15,13,2.3636363636363638,2.0,24.14814814814815,340.2743484224965
33.0,method_2.java,9,35,13,20,11,1,False,26,15,13,2.3636363636363638,2.0,22.814814814814813,298.8916323731139
80.0,method_8.java,15,56,13,25,8,1,False,41,33,28,5.125,3.1538461538461537,28.09375,646.5224609375
81.0,method_8.java,16,55,13,24,7,1,False,39,32,26,5.571428571428571,3.0,28.866666666666667,664.0488888888889
134.0,method_14.java,13,32,12,27,11,1,False,19,8,7,1.7272727272727273,1.5833333333333333,33.05263157894737,370.0498614958449
177.0,method_18.java,38,68,12,18,4,1,False,30,26,18,7.5,2.5,24.620689655172413,286.8561236623068
2.0,method_0.java,19,42,12,18,8,1,False,23,15,11,2.875,1.9166666666666667,23.428571428571427,274.7210884353741
4.0,method_0.java,19,42,12,18,8,1,False,23,15,11,2.875,1.9166666666666667,23.428571428571427,274.7210884353741
32.0,method_2.java,9,34,12,19,11,1,False,25,14,13,2.272727272727273,2.0833333333333335,22.884615384615383,310.2559171597633
35.0,method_2.java,10,35,12,19,11,1,False,25,14,13,2.272727272727273,2.0833333333333335,23.115384615384617,307.948224852071
66.0,method_6.java,11,29,12,16,6,1,False,18,12,6,3.0,1.5,46.6875,613.96484375
82.0,method_8.java,19,55,12,23,7,1,False,36,29,24,5.142857142857143,3.0,28.689655172413794,686.0071343638524
1.0,method_0.java,19,40,11,17,7,1,False,21,14,10,3.0,1.9090909090909092,23.25,287.7875
6.0,method_0.java,21,42,11,17,8,1,False,21,13,10,2.625,1.9090909090909092,23.0,284.6
34.0,method_2.java,10,34,11,18,11,1,False,24,13,13,2.1818181818181817,2.1818181818181817,23.2,320.0799999999999
65.0,method_6.java,11,28,11,15,6,1,False,17,11,6,2.8333333333333335,1.5454545454545454,48.2,618.2933333333334
69.0,method_6.java,12,29,11,15,6,1,False,17,11,6,2.8333333333333335,1.5454545454545454,46.53333333333333,654.5155555555556
108.0,method_12.java,6,31,10,20,7,1,False,25,18,15,3.5714285714285716,2.5,26.0,459.6666666666667
56.0,method_5.java,5,21,10,16,6,1,False,16,10,6,2.6666666666666665,1.6,23.375,373.234375
68.0,method_6.java,12,28,10,14,6,1,False,16,10,6,2.6666666666666665,1.6,48.142857142857146,662.408163265306
72.0,method_6.java,13,29,10,14,6,1,False,16,10,6,2.6666666666666665,1.6,47.0,698.0
90.0,method_9.java,10,31,10,17,9,1,False,21,12,11,2.3333333333333335,2.1,34.90909090909091,1605.173553719008
23.0,method_1.java,7,30,9,17,5,1,False,23,18,14,4.6,2.5555555555555554,32.38095238095238,464.7120181405896
51.0,method_4.java,5,23,9,19,9,1,False,18,9,9,2.0,2.0,35.78947368421053,741.1135734072022
67.0,method_6.java,12,27,9,13,6,1,False,15,9,6,2.5,1.6666666666666667,50.07692307692308,660.9940828402367
71.0,method_6.java,13,28,9,13,6,1,False,15,9,6,2.5,1.6666666666666667,48.76923076923077,707.869822485207
96.0,method_10.java,22,37,8,13,11,1,False,15,4,7,1.3636363636363635,1.875,35.125,859.859375
44.0,method_3.java,12,32,8,15,2,1,False,20,18,12,10.0,2.5,32.64705882352941,599.7577854671281
50.0,method_4.java,5,22,8,18,8,1,False,17,9,9,2.125,2.125,36.44444444444444,774.1358024691358
53.0,method_4.java,7,23,8,17,9,1,False,16,7,8,1.7777777777777777,2.0,31.764705882352942,486.17993079584767
70.0,method_6.java,13,27,8,12,6,1,False,14,8,6,2.3333333333333335,1.75,50.916666666666664,706.9097222222222
98.0,method_10.java,23,36,7,12,10,1,False,13,3,6,1.3,1.8571428571428572,35.714285714285715,851.3469387755101
115.0,method_12.java,13,30,7,14,5,1,False,17,12,10,3.4,2.4285714285714284,25.764705882352942,433.12110726643596
161.0,method_16.java,45,60,7,13,5,1,False,15,10,8,3.0,2.142857142857143,16.625,156.359375
170.0,method_17.java,49,67,7,15,5,1,False,18,13,11,3.6,2.5714285714285716,14.941176470588236,120.64359861591696
52.0,method_4.java,7,22,7,16,8,1,False,15,7,8,1.875,2.142857142857143,32.25,512.5625
58.0,method_5.java,8,17,7,11,4,1,False,9,5,2,2.25,1.2857142857142858,25.6,476.03999999999996
73.0,method_7.java,4,16,7,12,4,1,False,12,8,5,3.0,1.7142857142857142,29.0,584.4615384615385
91.0,method_9.java,14,26,7,11,4,1,False,12,8,5,3.0,1.7142857142857142,24.53846153846154,320.2485207100592
92.0,method_9.java,15,25,7,10,4,1,False,10,6,3,2.5,1.4285714285714286,25.727272727272727,316.74380165289256
100.0,method_10.java,24,36,6,11,8,1,False,12,4,6,1.5,2.0,35.30769230769231,914.5207100591717
155.0,method_16.java,6,17,6,12,2,1,False,11,9,5,5.5,1.8333333333333333,26.5,396.25
157.0,method_16.java,19,30,6,12,2,1,False,11,9,5,5.5,1.8333333333333333,26.666666666666668,390.3888888888889
162.0,method_16.java,46,60,6,12,5,1,False,14,9,8,2.8,2.3333333333333335,16.933333333333334,165.2622222222222
175.0,method_18.java,18,24,6,7,1,1,False,6,5,0,6.0,1.0,30.285714285714285,66.20408163265306
193.0,method_19.java,37,50,6,11,5,1,False,13,8,7,2.6,2.1666666666666665,20.384615384615383,188.23668639053253
15.0,method_1.java,3,16,6,12,4,1,False,13,9,7,3.25,2.1666666666666665,24.928571428571427,334.78061224489795
27.0,method_1.java,19,30,6,10,3,1,False,11,8,5,3.6666666666666665,1.8333333333333333,42.90909090909091,366.6280991735537
59.0,method_5.java,9,17,6,10,4,1,False,8,4,2,2.0,1.3333333333333333,26.22222222222222,525.0617283950618
75.0,method_7.java,19,30,6,11,4,1,False,11,7,5,2.75,1.8333333333333333,29.916666666666668,691.9097222222222
93.0,method_9.java,16,25,6,9,4,1,False,9,5,3,2.25,1.5,24.4,329.03999999999996
97.0,method_10.java,23,32,5,8,10,1,False,9,-1,4,0.9,1.8,34.4,761.8399999999999
109.0,method_12.java,8,18,5,9,4,1,False,10,6,5,2.5,2.0,24.90909090909091,566.99173553719
124.0,method_13.java,38,48,5,9,2,1,False,10,8,5,5.0,2.0,24.818181818181817,1101.9669421487606
156.0,method_16.java,7,17,5,11,2,1,False,10,8,5,5.0,2.0,24.0,357.27272727272725
158.0,method_16.java,20,30,5,11,2,1,False,10,8,5,5.0,2.0,24.181818181818183,351.7851239669422
159.0,method_16.java,32,41,5,10,1,1,False,9,8,4,9.0,1.8,25.4,340.84
194.0,method_19.java,41,50,5,9,4,1,False,9,5,4,2.25,1.8,22.1,197.89
195.0,method_19.java,41,50,5,9,4,1,False,9,5,4,2.25,1.8,22.1,197.89
196.0,method_19.java,42,49,5,8,4,1,False,7,3,2,1.75,1.4,24.0,183.75
198.0,method_19.java,54,63,5,8,7,1,False,9,2,4,1.2857142857142858,1.8,47.7,855.8099999999998
26.0,method_1.java,19,28,5,9,2,1,False,9,7,4,4.5,1.8,41.9,392.09000000000003
36.0,method_3.java,8,18,5,8,2,1,False,10,8,5,5.0,2.0,38.22222222222222,1598.3950617283947
46.0,method_3.java,20,32,5,10,2,1,False,12,10,7,6.0,2.4,36.1,527.0899999999999
54.0,method_4.java,13,21,5,10,6,1,False,8,2,3,1.3333333333333333,1.6,40.22222222222222,447.72839506172835
60.0,method_5.java,10,17,5,9,3,1,False,7,4,2,2.3333333333333335,1.4,25.875,589.609375
77.0,method_8.java,2,13,5,9,4,1,False,11,7,6,2.75,2.2,20.1,412.49000000000007
85.0,method_8.java,36,55,5,12,6,1,False,19,13,14,3.1666666666666665,3.8,22.333333333333332,354.488888888889
94.0,method_9.java,17,25,5,8,4,1,False,8,4,3,2.0,1.6,23.22222222222222,351.7283950617284
95.0,method_9.java,18,24,5,7,3,1,False,6,3,1,2.0,1.2,24.714285714285715,359.6326530612245
99.0,method_10.java,24,32,4,7,8,1,False,8,0,4,1.0,2.0,33.666666666666664,841.1111111111111
103.0,method_11.java,59,73,4,9,4,1,False,14,10,10,3.5,3.5,30.75,592.1875
104.0,method_11.java,60,72,4,8,4,1,False,12,8,8,3.0,3.0,32.8,609.36
160.0,method_16.java,33,41,4,9,1,1,False,8,7,4,8.0,2.0,23.333333333333332,336.0
163.0,method_16.java,51,60,4,8,3,1,False,9,6,5,3.0,2.25,18.1,178.08999999999997
165.0,method_16.java,52,59,4,7,3,1,False,7,4,3,2.3333333333333335,1.75,19.875,181.859375
168.0,method_17.java,49,61,4,11,4,1,False,12,8,8,3.0,3.0,16.416666666666668,150.4097222222222
197.0,method_19.java,43,49,4,7,4,1,False,6,2,2,1.5,1.5,23.142857142857142,204.12244897959184
